Part Name,Category,Brand,SKU,Price,Availability,URL,Vehicle Fitment
Equal Length Header,Exhaust & Manifolds,MAPerformance,BRZ86-2G-ELH,$989.00,In Stock,https://www.maperformance.com/products/map-equal-length-header-subaru-brz-86,2013-2024 Subaru BRZ / Toyota GR86 / Scion FR-S
2022+ Subaru WRX Downpipe,Exhaust & Manifolds,MAPerformance,WRX-5G-DPC,$849.00,In Stock,https://www.maperformance.com/products/map-downpipe-subaru-wrx-2022,2022+ Subaru WRX
2022+ Honda Civic / Civic Si 1.5T Front Pipe,Exhaust & Manifolds,MAPerformance,HDAXI-FP,$399.99,In Stock,https://www.maperformance.com/products/map-front-pipe-honda-civic-2022,2022+ Honda Civic / Civic Si 1.5T
O2 Eliminator Downpipe,Exhaust & Manifolds,MAPerformance,EVOX-02E,$549.99,In Stock,https://www.maperformance.com/products/map-o2-eliminator-downpipe-evo-x,2008-15 Mitsubishi Evo X
Civic X 1.5T Catted Downpipe,Exhaust & Manifolds,MAPerformance,HDAX-DP,$599.99,In Stock,https://www.maperformance.com/products/map-downpipe-civic-x-1-5t,2016-21 Honda Civic 1.5T
Investment Cast Exhaust Manifold,Exhaust & Manifolds,MAPerformance,EVOX-ICEM,$699.99,In Stock,https://www.maperformance.com/products/map-investment-cast-exhaust-manifold-evo-x,2008-2015 Mitsubishi Evolution X
Evo X Tubular Exhaust Manifold,Exhaust & Manifolds,MAPerformance,EVOX-TEM,"$1,199.99",In Stock,https://www.maperformance.com/products/map-tubular-exhaust-manifold-evo-x,08-15 Mitsubishi Evolution 10
Evo X Cat-Back,Exhaust & Manifolds,MAPerformance,EVOX-CBE-REV2,$749.99,In Stock,https://www.maperformance.com/products/map-catback-evo-x,2008-2015 Mitsubishi Evo X
